Time(s),Force(N)
326.56,11.938494106
326.6,11.99061584
326.64,12.059089656
326.68,12.127563472
326.72,12.196037288
326.76,12.264511104
326.8,12.33298492
326.84000000000003,12.33298492
326.88,12.33298492
326.92,12.33298492
326.96,12.33298492
327.0,12.33298492
327.04,12.097413632
327.08,11.861842344
327.12,11.626271056
327.16,11.390699768
327.2,11.15512848
327.24,11.139543153
327.28000000000003,11.123957826
327.32,11.108372499
327.36,11.092787172
327.40000000000003,11.077201845
327.44,11.061616518
327.48,11.046031191
327.52,11.030445864
327.56,11.014860537
327.6,10.99927521
327.64,11.117826846
327.68,11.236378482
327.72,11.354930118
327.76,11.473481754
327.8,11.59203339
327.84000000000003,11.644155886
327.88,11.696278382
327.92,11.748400878
327.96,11.800523374
328.0,11.85264587
328.04,11.7192749
328.08,11.58590393
328.12,11.45253296
328.16,11.31916199
328.2,11.18579102
328.24,11.118849949
328.28000000000003,11.051908878
328.32,10.984967807
328.36,10.918026736
328.40000000000003,10.851085665
328.44,10.784144594
328.48,10.717203523
328.52,10.650262452
328.56,10.583321381
328.6,10.51638031
328.64,10.450460816
328.68,10.384541322
328.72,10.318621828
328.76,10.252702334
328.8,10.18678284
328.84000000000003,10.1479476954
328.88,10.1091125508
328.92,10.0702774062
328.96,10.0314422616
329.0,9.992607117
329.04,9.9599029544
329.08,9.9271987918
329.12,9.8944946292
329.16,9.8617904666
329.2,9.829086304
329.24,9.7649559024
329.28000000000003,9.7008255008
329.32,9.6366950992
329.36,9.5725646976
329.40000000000003,9.508434296
329.44,9.4443038944
329.48,9.3801734928
329.52,9.3160430912
329.56,9.2519126896
329.6,9.187782288
329.64,9.1428146366
329.68,9.0978469852
329.72,9.0528793338
329.76,9.0079116824
329.8,8.962944031
329.84000000000003,8.9312606814
329.88,8.8995773318
329.92,8.8678939822
329.96,8.8362106326
330.0,8.804527283
330.04,8.797885132000001
330.08,8.791242981
330.12,8.78460083
330.16,8.777958679
330.2,8.771316528
330.24,8.8022315976
330.28000000000003,8.8331466672
330.32,8.8640617368
330.36,8.894976806399999
330.40000000000003,8.925891876
330.44,8.9568069456
330.48,8.9877220152
330.52,9.0186370848
330.56,9.0495521544
330.6,9.080467224
330.64,9.133100891
330.68,9.185734558
330.72,9.238368225
330.76,9.291001892
330.8,9.343635559
330.84000000000003,9.4207962036
330.88,9.4979568482
330.92,9.5751174928
330.96,9.652278137400002
331.0,9.729438782
331.04,9.7912704476
331.08,9.8531021132
331.12,9.9149337788
331.16,9.9767654444
331.2,10.03859711
331.24,10.138497165
331.28000000000003,10.23839722
331.32,10.338297275
331.36,10.43819733
331.40000000000003,10.538097385
331.44,10.63799744
331.48,10.737897495
331.52,10.83779755
331.56,10.937697605
331.6,11.03759766
331.64,11.094830326
331.68,11.152062992
331.72,11.209295658
331.76,11.266528324
331.8,11.32376099
331.84000000000003,11.3769043
331.88,11.43004761
331.92,11.48319092
331.96,11.53633423
332.0,11.58947754
332.04,11.605319214
332.08,11.621160888
332.12,11.637002562
332.16,11.652844236
332.2,11.66868591
332.24,11.609920499
332.28000000000003,11.551155088
332.32,11.492389677
332.36,11.433624266
332.40000000000003,11.374858855
332.44,11.316093444
332.48,11.257328033
332.52,11.198562622
332.56,11.139797211
332.6,11.0810318
332.64,11.040663148
332.68,11.000294496
332.72,10.959925844
332.76,10.919557192
332.8,10.87918854
332.84000000000003,10.845463564
332.88,10.811738588
332.92,10.778013612
332.96,10.744288636
333.0,10.71056366
333.04,10.66712799
333.08,10.62369232
333.12,10.58025665
333.16,10.53682098
333.2,10.49338531
333.24,10.4277221635
333.28000000000003,10.362059017
333.32,10.2963958705
333.36,10.230732724
333.40000000000003,10.1650695775
333.44,10.099406431
333.48,10.0337432845
333.52,9.968080138
333.56,9.9024169915
333.6,9.836753845
333.64,9.7708343504
333.68,9.7049148558
333.72,9.6389953612
333.76,9.5730758666
333.8,9.507156372
333.84000000000003,9.4616775512
333.88,9.4161987304
333.92,9.3707199096
333.96,9.3252410888
334.0,9.279762268
334.04,9.2245742798
334.08,9.1693862916
334.12,9.1141983034
334.16,9.0590103152
334.2,9.003822327
334.24,9.0091873172
334.28000000000003,9.0145523074
334.32,9.0199172976
334.36,9.0252822878
334.40000000000003,9.030647278
334.44,9.0360122682
334.48,9.0413772584
334.52,9.0467422486
334.56,9.0521072388
334.6,9.057472229
334.64,9.0641159058
334.68,9.0707595826
334.72,9.0774032594
334.76,9.0840469362
334.8,9.090690613
334.84000000000003,9.0641189576
334.88,9.0375473022
334.92,9.0109756468
334.96,8.984403991399999
335.0,8.957832336
335.04,8.9608978268
335.08,8.9639633176
335.12,8.9670288084
335.16,8.9700942992
335.2,8.97315979
335.24,9.0201721191
335.28000000000003,9.0671844482
335.32,9.1141967773
335.36,9.1612091064
335.40000000000003,9.2082214355
335.44,9.2552337646
335.48,9.3022460937
335.52,9.3492584228
335.56,9.3962707519
335.6,9.443283081
335.64,9.534751892
335.68,9.626220703
335.72,9.717689514
335.76,9.809158325
335.8,9.900627136
335.84000000000003,10.0202011108
335.88,10.1397750856
335.92,10.2593490604
335.96,10.3789230352
336.0,10.49849701
336.04,10.570547486
336.08,10.642597962
336.12,10.714648438
336.16,10.786698914
336.2,10.85874939
336.24,10.876634217
336.28000000000003,10.894519044
336.32,10.912403871
336.36,10.930288698
336.40000000000003,10.948173525
336.44,10.966058352
336.48,10.983943179
336.52,11.001828006
336.56,11.019712833
336.6,11.03759766
336.64,11.02175751
336.68,11.00591736
336.72,10.99007721
336.76,10.97423706
336.8,10.95839691
336.84000000000003,10.942555236
336.88,10.926713562
336.92,10.910871888
336.96,10.895030214
337.0,10.87918854
337.04,10.844441226
337.08,10.809693912
337.12,10.774946598
337.16,10.740199284
337.2,10.70545197
337.24,10.640043644
337.28000000000003,10.574635318
337.32,10.509226992
337.36,10.443818666
337.40000000000003,10.37841034
337.44,10.313002014
337.48,10.247593688
337.52,10.182185362
337.56,10.116777036
337.6,10.05136871
337.64,9.9905593846
337.68,9.9297500592
337.72,9.8689407338
337.76,9.8081314084
337.8,9.747322083
337.84000000000003,9.6854919438
337.88,9.6236618046
337.92,9.5618316654
337.96,9.5000015262
338.0,9.438171387
338.04,9.3656097414
338.08,9.2930480958
338.12,9.2204864502
338.16,9.1479248046
338.2,9.075363159
338.24,9.0656539915
338.28000000000003,9.055944824
338.32,9.0462356565
338.36,9.036526489
338.40000000000003,9.0268173215
338.44,9.017108154
338.48,9.0073989865
338.52,8.997689819
338.56,8.987980651500001
338.6,8.978271484
338.64,8.9813369748
338.68,8.9844024656
338.72,8.9874679564
338.76,8.9905334472
