Time(s),Force(N)
291.3,11.22411346
291.35,11.19090271
291.4,11.12447357
291.45,11.07592773
291.5,10.99927521
291.55,10.94817352
291.6,10.87152863
291.65,10.82042694
291.7,10.70545197
291.75,10.61347198
291.8,10.49594116
291.85,10.43206787
291.9,10.38096619
291.95,10.2940979
292,10.21488953
292.05,10.10502625
292.1,10.03859711
292.15,9.96194458
292.2,9.926177979
292.25,9.880187988
292.3,9.84185791
292.35,9.770317078
292.4,9.69367218
292.45,9.535263062
292.5,9.43561554
292.55,9.335968018
292.6,9.31552887
292.65,9.379402161
292.7,9.463722229
292.75,9.48160553
292.8,9.384513855
292.85,9.310417175
292.9,9.36151886
292.95,9.427947998
293,9.496932983
293.05,9.519927979
293.1,9.494377136
293.15,9.476493835
293.2,9.404953003
293.25,9.33341217
293.3,9.325752258
293.35,9.346191406
293.4,9.266983032
293.45,9.215888977
293.5,9.292533875
293.55,9.351303101
293.6,9.328308105
293.65,9.310417175
293.7,9.228660583
293.75,9.04725647
293.8,8.919502258
293.85,9.003822327
293.9,9.014038086
293.95,8.888847351
294,8.82497406
294.05,8.745765686
294.1,8.799423218
294.15,9.060028076
294.2,9.269538879
294.25,9.494377136
294.3,9.550590515
294.35,9.680892944
294.4,9.826530457
294.45,10.00537872
294.5,10.11779785
294.55,10.37329865
294.6,10.56492615
294.65,10.7718811
294.7,10.89452362
294.75,11.08614349
294.8,11.15001678
294.85,11.15512848
294.9,11.19856262
294.95,11.29309845
295,11.4464035
295.05,11.48983765
295.1,11.51027679
295.15,11.56137848
295.2,11.59970093
295.25,11.51283264
295.3,11.33908844
295.35,11.26244354
295.4,11.2368927
295.45,11.26754761
295.5,11.31864929
295.55,11.37997437
295.6,11.54093933
295.65,11.65080261
295.7,11.68145752
295.75,11.65335846
295.8,11.71723175
295.85,11.7555542
295.9,11.7197876
295.95,11.62014008
296,11.63546753
296.05,11.63802338
296.1,11.50005341
296.15,11.29821014
296.2,11.30332184
296.25,11.34420013
296.3,11.254776
296.35,11.06826019
296.4,11.01715851
296.45,11.03249359
296.5,10.97628021
296.55,10.7948761
296.6,10.72077942
296.65,10.70800781
296.7,10.66712189
296.75,10.46016693
296.8,10.3298645
296.85,10.26599121
296.9,10.23021698
296.95,10.18933868
297,10.1024704
297.05,10.05136871
297.1,9.992607117
